word,category_id,sentiment
5-star,3,None
5K,4,None
abs,4,neutral
accelerating,2,None 
accountability,1,none
act ,1,None 
acting,3,neutral
action,3,None
active,4,None
adaptation,3,None
administration,1,None
adminstration ,2,neutral
adopters,2,none
adoption,5,none
adrenaline,4,none
advertise,1,none
advertisements ,1,None 
advice ,2,None 
advise,4,positive
advocate,1,none
aerobic,4,None
aesthetic,3,neutral
aesthetic ,4,none
afford,1,neutral
affordability,1,None 
affordable,1,positive
afternoon,4,neutral
aftertaste,5,None
agentic,2,None
agents,2,none
aggregate,2,none
agregious,None,Negative
AI,2,None
AI ,2,none
aid,1,none
aide,1,None
airplane,3,None
alarming,none,negative
algebra,2,none
allusion,3,
ambassador,1,none
amend,1,None
amendment,1,None
amendments,1,none
analyst,2,None
analysts,2,None
analytical,2,neutral
analyze,1,None
analyzed,2,neutral
anatomy,4,none
Animals,5,None
animated,3,none
animated ,3,None
animation,3,None
animations,3,None
anime,3,none
announcement,1,none 
annoying,none,negative
ANOVA,2,None 
antagonist,3,negative
anthology,3,neutral
anxiety,4,None
anxiety ,4,none
anxious,4,negative
app,2,None
appetite,5,None
appetizer,5,None
appetizers,5,None
appetizing,None,Positive
apples,5,None
appliances,5,none
application,2,neutral
appointment,4,None
apps,2,none
argue,1,none
aroma,5,None
art,3,None
artifical,2,none
artificial_intelligence,2,None
artistry,3,None
asparagus,5,none
assembly,1,
assignment,2,none
asymptotic,2,none
athlete,1,None
athletes,4,None
attacked,5,None
Audible,2,None
Audience,3,none
audio,2,None
auditorily,3,None
author,3,neutral
automated ,2,None
avian,5,neutral
awards,1,positive
awful,none,negative
backend,2,none
backlash,1,None
backlog,2,negative
backpropagation,2,none
badges,2,None
bake,5,None
baking,5,None
ballot,1,None
ballots,1,none
banana ,5,none
bangers,3,None
bank,1,neutral
barbells,4,none
barcode,2,None
baseball,4,none
basement,5,neutral
basketball,4,none
battles,1,None
bayes,2,
beat,3,none
beautiful,none,positive
beauty,3,None 
bed,5,None
beef,5,none
behavior,2,none
benchmarks,4,none
best-performing,3,None
bestseller,3,None
better,None,Positive
biceps,4,
binge,3,None
biography,3,none
biomechanics,4,none
biometric,4,neutral
biometrics,4,none
bipartisan,1,None
bird,5,neutral
bits,2,
blanket,5,none
Blockade,1,Negative
Blog,1,None
blood,4,none
blood ,4,None 
blood_pressure,4,None
blueberries,5,None
BMI,4,None 
body,4,None
Bollywood,3,none
bombings,1,negative
bonding,none,positive
bone ,4,None 
book,3,none 
boost,None,Positive
boosts,1,Positive
bored ,none,negative
bottles,4,None
boxing,4,neutral
brace,4,None
brackets,2,None
brain,4,None
branch,2,none
breach,2,None 
bread,5,None 
breakfast,5,None
breeds,5,none
broadcast,3,None
broadcaster,1,
brunch,5,none
buffet,5,neutral
Bug,2,None
building,1,None
bulletin,1,none 
bunny,5,neutral
burrito ,5,None
buy,5,None
Buzz,3,Positive
bytes,2,
C++,2,none
cabinet,5,none
cafe,5,None
cafeterias,5,None
calculations,2,None 
calculus,2,none
calisthenics,4,
